	Index	Gene_name	Gene_list_number	Gene_list_index	Source	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	Organism	HGNC_symbol	Alias	Info
72	73	Gm43909	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000108126	ENSMUST00000203443		mouse			up
73	74	Prkab2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000038205	ENSMUST00000143927|ENSMUST00000130924|ENSMUST00000045743|ENSMUST00000152731|ENSMUST00000132719|ENSMUST00000198337	NM_182997	mouse	PRKAB2		up
74	75	Mir22hg	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000085148	ENSMUST00000134345|ENSMUST00000149940		mouse			up
75	76	Zfp568	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000074221	ENSMUST00000207940|ENSMUST00000146074|ENSMUST00000177931|ENSMUST00000148442|ENSMUST00000074322|ENSMUST00000209185	NM_001033355|NM_001167872|NM_001167873	mouse			up
76	77	Akap12	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000038587	ENSMUST00000216139|ENSMUST00000215696|ENSMUST00000239220|ENSMUST00000045730|ENSMUST00000239373	NM_031185	mouse	AKAP12		up
77	78	Fgd3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000037946	ENSMUST00000110086|ENSMUST00000110087|ENSMUST00000048716	NM_015759	mouse	FGD3		up
78	79	Vmp1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000018171	ENSMUST00000143991|ENSMUST00000150176|ENSMUST00000123590|ENSMUST00000127267|ENSMUST00000153971|ENSMUST00000018315|ENSMUST00000145846|ENSMUST00000139040	NM_001379040|NM_001379041|NM_029478|NM_001356531	mouse	VMP1		up
79	80	Srsf5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000021134	ENSMUST00000138434|ENSMUST00000152662|ENSMUST00000110352|ENSMUST00000110356|ENSMUST00000110354|ENSMUST00000094693|ENSMUST00000153056|ENSMUST00000133783|ENSMUST00000151968|ENSMUST00000110351|ENSMUST00000125814|ENSMUST00000151036	NM_001079695|NM_001409836|NM_009159|NM_001347416|NM_001409834|NM_001347415|NM_001409833|NM_001079694|NM_001409835|NM_001409837	mouse	SRSF5		up
80	81	Stk17b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000026094	ENSMUST00000187066|ENSMUST00000185920|ENSMUST00000027263	NM_133810	mouse	STK17B		up
81	82	Hes1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000022528	ENSMUST00000023171|ENSMUST00000161676|ENSMUST00000160592|ENSMUST00000161839	NM_008235	mouse	HES1		up
82	83	Ankrd1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000024803	ENSMUST00000235221|ENSMUST00000236579|ENSMUST00000025718|ENSMUST00000235941|ENSMUST00000237142|ENSMUST00000237338	NM_013468	mouse	ANKRD1		up
83	84	Arl5b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000017418	ENSMUST00000193836|ENSMUST00000069870|ENSMUST00000192653|ENSMUST00000193883|ENSMUST00000239125|ENSMUST00000128682|ENSMUST00000129509|ENSMUST00000017562	NM_029466	mouse	ARL5B		up
84	85	Coq10b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000025981	ENSMUST00000185474|ENSMUST00000185918|ENSMUST00000087617|ENSMUST00000027125	NM_001039710|NM_026424	mouse	COQ10B		up
85	86	Gm16091	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000087502	ENSMUST00000156664		mouse			up
86	87	Rhob	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000054364	ENSMUST00000067384	NM_007483	mouse	RHOB		up
87	88	Slc25a25	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000026819	ENSMUST00000113310|ENSMUST00000127961|ENSMUST00000028160|ENSMUST00000052119|ENSMUST00000153886|ENSMUST00000143092|ENSMUST00000113307|ENSMUST00000136361|ENSMUST00000128611|ENSMUST00000153782|ENSMUST00000194756|ENSMUST00000113308	NM_001164357|NM_001164358|NM_001290558|NM_001362906|NM_146118|NM_001362907|NM_001362905	mouse	SLC25A25		up
88	89	Zfand5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000024750	ENSMUST00000149144|ENSMUST00000025659|ENSMUST00000133175|ENSMUST00000237651|ENSMUST00000141568	NM_009551	mouse	ZFAND5		up
89	90	Pim1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000024014	ENSMUST00000234665|ENSMUST00000024811|ENSMUST00000234650|ENSMUST00000234263|ENSMUST00000234294|ENSMUST00000234478|ENSMUST00000234270	NM_008842|NM_001364913	mouse	PIM1		up
90	91	2010111I01Rik	25	all_sig_genes_35904237	PMID: 35904237	Aopep	ENSMUST00000222907|ENSMUST00000221164|ENSMUST00000222929|ENSMUST00000223204|ENSMUST00000222721|ENSMUST00000221108|ENSMUST00000091560|ENSMUST00000220485|ENSMUST00000220457|ENSMUST00000021911|ENSMUST00000220670|ENSMUST00000222181|ENSMUST00000159152|ENSMUST00000220884|ENSMUST00000221364|ENSMUST00000223073|ENSMUST00000220563|ENSMUST00000221820|ENSMUST00000221501|ENSMUST00000221676|ENSMUST00000223007|ENSMUST00000220885|ENSMUST00000222282|ENSMUST00000222680|ENSMUST00000220863|ENSMUST00000221938|ENSMUST00000223185|ENSMUST00000222846	NM_001289924|NM_001289926	mouse			up
91	92	Dnajb4	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000028035	ENSMUST00000144950|ENSMUST00000196291|ENSMUST00000197941|ENSMUST00000134701|ENSMUST00000153355|ENSMUST00000029669|ENSMUST00000050073	NM_025926|NM_001356364|NM_001356363|NM_027287	mouse	DNAJB4		up
92	93	Fam126b	25	all_sig_genes_35904237	PMID: 35904237	Hycc2	ENSMUST00000191472|ENSMUST00000160546|ENSMUST00000159980|ENSMUST00000159185|ENSMUST00000161600|ENSMUST00000187717|ENSMUST00000161000|ENSMUST00000038372|ENSMUST00000097724	NM_001310599|NM_001310598|NM_172513	mouse			up
93	94	Ubald1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000039568	ENSMUST00000037843|ENSMUST00000143873	NM_145359	mouse	UBALD1		up
94	95	Malat1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000092341	ENSMUST00000174808|ENSMUST00000173499|ENSMUST00000245150|ENSMUST00000173314|ENSMUST00000172812|ENSMUST00000245771		mouse			up
95	96	Gm27252	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000098708	ENSMUST00000246492|ENSMUST00000183782|ENSMUST00000184360		mouse			up
96	97	Rnd3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000017144	ENSMUST00000154545|ENSMUST00000140864|ENSMUST00000017288	NM_028810	mouse	RND3		up
97	98	Vcl	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000021823	ENSMUST00000224380|ENSMUST00000226113|ENSMUST00000022369	NM_009502	mouse	VCL		up
98	99	Gm5532	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000073535	ENSMUST00000245896|ENSMUST00000097531|ENSMUST00000194133		mouse			up
99	100	Cnn3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000053931	ENSMUST00000198393|ENSMUST00000199188|ENSMUST00000196671|ENSMUST00000198649|ENSMUST00000199499|ENSMUST00000197135|ENSMUST00000198620|ENSMUST00000029773	NM_028044	mouse	CNN3		up
100	101	Gm15910	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000087480	ENSMUST00000127564		mouse			up
101	102	Cdc42ep3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000036533	ENSMUST00000068958|ENSMUST00000233363	NM_026514	mouse	CDC42EP3		up
102	103	Rflnb	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000020846	ENSMUST00000021207	NM_029658	mouse	RFLNB		up
103	104	Zfp36l2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000045817	ENSMUST00000060366	NM_001001806	mouse	ZFP36L2		up
104	105	Tbce	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000039233	ENSMUST00000159893|ENSMUST00000160553|ENSMUST00000159966|ENSMUST00000039894|ENSMUST00000162326|ENSMUST00000159239|ENSMUST00000159427|ENSMUST00000160776|ENSMUST00000161554|ENSMUST00000160510|ENSMUST00000160304|ENSMUST00000162241|ENSMUST00000162440	NM_178337	mouse	TBCE		up
105	106	Slc7a1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000041313	ENSMUST00000138596|ENSMUST00000201860|ENSMUST00000048116|ENSMUST00000138257|ENSMUST00000202457|ENSMUST00000201348	NM_001301424|NM_007513	mouse	SLC7A1		up
106	107	Ctla2a	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000044258	ENSMUST00000224054|ENSMUST00000225498|ENSMUST00000223750|ENSMUST00000225385|ENSMUST00000225856|ENSMUST00000021880|ENSMUST00000225762|ENSMUST00000226023|ENSMUST00000225966	NM_001145799|NM_007796	mouse			up
107	108	Cxcl1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000029380	ENSMUST00000031327|ENSMUST00000201245	NM_008176	mouse			up
108	109	Slc20a1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000027397	ENSMUST00000148988|ENSMUST00000028880|ENSMUST00000110315|ENSMUST00000144025|ENSMUST00000144744|ENSMUST00000140907|ENSMUST00000125714|ENSMUST00000141285	NM_015747|NM_001159593	mouse	SLC20A1		up
109	110	Actb	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000029580	ENSMUST00000196997|ENSMUST00000165629|ENSMUST00000171419|ENSMUST00000164765|ENSMUST00000100497|ENSMUST00000163829|ENSMUST00000167386|ENSMUST00000167721|ENSMUST00000106216	NM_007393	mouse	ACTB		up
110	111	Nmd3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000027787	ENSMUST00000135266|ENSMUST00000143041|ENSMUST00000029358|ENSMUST00000143249|ENSMUST00000150210|ENSMUST00000127211|ENSMUST00000194168|ENSMUST00000149680	NM_133787	mouse	NMD3		up
111	112	Grhl1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000020656	ENSMUST00000020985|ENSMUST00000223442|ENSMUST00000221426|ENSMUST00000085553	NM_145890|NM_001161406	mouse	GRHL1		up
112	113	Dusp16	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000030203	ENSMUST00000204083|ENSMUST00000203452|ENSMUST00000100857|ENSMUST00000148926|ENSMUST00000129433|ENSMUST00000149776|ENSMUST00000203651	NM_001048054|NM_130447	mouse	DUSP16		up
113	114	Gclc	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000032350	ENSMUST00000034905|ENSMUST00000216315|ENSMUST00000216848	NM_010295	mouse	GCLC		up
114	115	Arl4c	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000049866	ENSMUST00000051236|ENSMUST00000159814|ENSMUST00000187810	NM_177305	mouse	ARL4C		up
115	116	Gm47765	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000112830	ENSMUST00000220316		mouse			up
